GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	52	11	61213	1.2241	0.11046	SAMD11
ENSG00000268179	1	861264	866445	20	4	58789	0.24853	0.40186	AL645608.1
ENSG00000188976	1	879584	894689	48	7	63416	2.7695	0.0028069	NOC2L
ENSG00000187961	1	895967	901095	17	3	64910	2.6913	0.0035588	KLHL17
ENSG00000187583	1	901877	911245	29	12	66762	1.3181	0.093735	PLEKHN1
ENSG00000187642	1	910579	917497	23	5	67297	-0.23291	0.59209	C1orf170
ENSG00000188290	1	934342	935552	3	1	66842	-0.81326	0.79197	HES4
ENSG00000187608	1	948803	949920	5	1	65076	-1.1998	0.88488	ISG15
ENSG00000188157	1	955503	991496	91	10	66447	-2.1712	0.98504	AGRN
ENSG00000237330	1	1006346	1009687	7	2	70378	0.069315	0.47237	RNF223
ENSG00000131591	1	1017198	1051741	111	13	67718	-1.0671	0.85704	C1orf159
ENSG00000162571	1	1109264	1133315	136	18	68763	1.8151	0.034755	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	68497	-1.0446	0.85189	TNFRSF18
ENSG00000186827	1	1146706	1149518	8	3	67809	2.7616	0.0028763	TNFRSF4
ENSG00000078808	1	1152288	1167411	94	6	69958	3.0574	0.0011165	SDF4
ENSG00000176022	1	1167629	1170421	7	2	55504	0.37665	0.35322	B3GALT6
ENSG00000184163	1	1177826	1182102	12	3	68285	3.3058	0.00047359	FAM132A
ENSG00000160087	1	1189289	1209265	47	7	60694	0.84266	0.19971	UBE2J2
ENSG00000162572	1	1215816	1227409	42	14	66527	2.8895	0.0019295	SCNN1D
ENSG00000131584	1	1227756	1244989	41	8	64463	2.1581	0.01546	ACAP3
ENSG00000169972	1	1243947	1247057	5	3	61518	0.61771	0.26838	PUSL1
ENSG00000127054	1	1246965	1260071	19	5	65172	1.268	0.10241	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	71092	2.2365	0.012659	GLTPD1
ENSG00000169962	1	1266694	1270686	14	5	65687	0.27181	0.39289	TAS1R3
ENSG00000107404	1	1270656	1284730	40	9	63776	1.1387	0.12741	DVL1
ENSG00000162576	1	1288069	1297157	28	5	66722	1.3779	0.08412	MXRA8
ENSG00000175756	1	1309110	1310875	9	4	63714	1.1487	0.12534	AURKAIP1
ENSG00000221978	1	1321091	1334708	19	8	64136	1.8188	0.034469	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	70543	0.75375	0.2255	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	12	5	67184	1.245	0.10657	MRPL20
ENSG00000235098	1	1353800	1357149	9	4	60766	0.4035	0.34329	ANKRD65
ENSG00000205116	1	1361508	1363167	8	3	65338	-0.2002	0.57934	TMEM88B
ENSG00000179403	1	1370241	1378262	17	4	70181	1.5139	0.065023	VWA1
ENSG00000215915	1	1385069	1405538	47	9	64553	2.7384	0.003087	ATAD3C
